id,xcenter,ycenter,xworld,yworld,semimajor,semiminor,a_hl,b_hl,a_hl_90,b_hl_90,angle,F160W_inner,F160W_outer,F160W_90
227.0,2212.2798878310446,1446.235680699074,36.11100738806214,-3.3910436359722165,10.90533884102816,8.868357604710491,3.6395296998133513,2.9597109600554483,7.988626130177271,6.496450438221061,26.41492792859857,2.435435577407479,4.88482044101338,4.381558978933626
228.0,1565.8107413642508,1447.8241968789516,36.12270022060421,-3.39101496849811,20.981814942667395,8.780125469658714,9.185155011062633,3.8436528811144806,17.03594920089417,7.12892435126812,-14.101204038727456,3.215839547403157,6.466091303719004,5.794198851952269
229.0,1461.893745570564,1454.115876895776,36.12457978981448,-3.390901357837341,25.022749019486586,10.46505837649372,7.827278804512987,3.2735383931849493,16.170936447323015,6.7630376579334595,-24.26353386988873,20.41466756105423,40.80448932056578,36.715208375602955
230.0,2788.7749006016625,1462.0517715965789,36.10058019887299,-3.3907579362832676,11.874162324086804,8.018335942812199,4.632359848331207,3.1281210798817987,9.404932195248843,6.350924284393685,-87.08073164217397,1.6291306892782451,3.2846289047069153,2.92885165474494
231.0,1972.4498009972924,1481.5653131285183,36.115345250470135,-3.3904057614912553,32.423288807646394,20.119520901628732,10.388738307966374,6.446490939543065,21.8459399435836,13.555992049979881,-87.30377278529728,78.38326463282108,156.87324574895217,141.12734343878924
232.0,702.5961599983505,1462.9378697070354,36.1383133696883,-3.3907418818614916,10.612854208112758,7.848380617690974,4.361600033759788,3.2254751168552867,8.765123504442544,6.481953306335625,-30.097151913486204,1.6137065475061536,3.245095558704543,2.903582236083821
233.0,1280.1288013932328,1466.9341779788328,36.127867410296126,-3.3906698885044197,19.735475114364185,10.200241520669366,7.037300940703142,3.6372151586338113,14.96756752352396,7.735957854176548,80.66663066455864,4.499987610504031,9.013050454112307,8.097173818997689
234.0,2617.600490070535,1480.3978357289952,36.10367627266485,-3.3904267386191673,21.01602187051497,19.23639574604697,6.190570606588599,5.666356212221925,15.390187962613895,14.086954613910233,-75.39864415671776,56.35124011397362,112.8298190382123,101.44478900015353
235.0,892.4852459455034,1470.992707232375,36.134878802016125,-3.3905965130417957,13.298910898782669,9.473292908252848,4.510401721174953,3.212921491374855,9.585540885620494,6.8281257904982615,29.55884112472521,3.154482954740524,6.340185911876615,5.6883470306644455
236.0,973.5435420806526,1476.7907597690516,36.13341268152578,-3.390491850345672,15.870224320455106,10.422526446643511,4.794630317837518,3.1487999337937067,11.468965420621451,7.5320671591262744,37.485958641626134,15.434949989020822,30.87485739603639,27.735676914528014
237.0,1213.2449318401982,1471.9309183540458,36.129077152334865,-3.390579656554727,14.014136147283786,11.963768171662178,7.054758730318139,6.022597259617368,12.814132170205037,10.939333327019588,-27.224202401418154,3.616721960604191,7.265439721852308,6.507081871152622
238.0,1360.0566451694585,1474.7142247159475,36.126421736799244,-3.3905294290308907,21.878234344728803,8.47002622393779,7.904107475382909,3.060027447299282,15.646547162361996,6.057466187220707,3.177685941671733,3.684996867477894,7.395059877093809,6.650006224453827
239.0,1235.6515334498413,1510.9299772625766,36.12867187154649,-3.3898755114254637,60.52873151402842,35.22945935641173,18.1032094690986,10.536587604919582,43.447116669938595,25.28746915045026,85.49902682071595,141.4731192302704,282.3459433885425,254.67015708185295
240.0,2010.788557292735,1487.127288654672,36.114651809579215,-3.3903053347737124,12.31941108080419,11.914384184940634,4.091543971958238,3.9570257434989506,9.567856868675289,9.253293181972385,-70.96586541608474,4.121234733611345,8.23820694512524,7.42842561656551
241.0,2794.944158649614,1517.9361439577629,36.10046863248301,-3.3897489109302454,10.601613411655695,8.703770583679342,3.2316246912128066,2.6531169202930887,7.118829115470837,5.844455276717968,-81.1171535146375,5.430025347471235,10.828748302423627,9.739997941374313
242.0,2242.2030439665564,1518.4912393796974,36.11046617141879,-3.3897390176681266,11.580285268343154,10.313452057536773,5.181031911297673,4.614249389158767,9.465493063259585,8.4300089891345,21.262130856691854,2.310313364416361,4.656637273047382,4.16637121432912
243.0,2579.0458249227527,1521.7433988010434,36.104373629611146,-3.3896802315872496,12.028675651349541,8.488975796643343,4.478363574148088,3.1605075314543924,7.835848530911664,5.529979396992842,-24.190588154391317,2.0629548183083535,4.12902658324776,3.7182420538458976
244.0,2560.6948140116488,1528.983626067605,36.104705549783674,-3.3895495098751454,11.364654187823282,7.5703239520660235,3.8617723266839885,2.5724379342264005,7.7750162923128725,5.1791626117814396,-62.298665278832885,2.4066401384770875,4.826848222736153,4.340780197759159
245.0,510.93243900181585,1532.100616568842,36.14178000219059,-3.3894930314711518,13.602411920247793,8.98441807040508,5.847353605013444,3.8621878017625906,11.061482749899408,7.306129683937694,-1.9824958313616885,2.4706624323129653,4.9644807189045235,4.45621950248169
246.0,1793.99518221182,1556.513146883224,36.11857299635776,-3.3890525402504457,22.80400672336247,20.747554958127107,6.477708337982767,5.893552452224447,16.29609427436096,14.82652218365382,-71.125082675106,114.10121266543865,228.35108310250567,205.41453708335757
247.0,1055.4181277912824,1548.647829067598,36.13193177976563,-3.3891944534354783,11.360609471640958,10.808910349431205,3.6655880247567048,3.487578059649723,8.476525073786002,8.064884179495037,60.94340376396507,4.769871118813754,9.591813006799494,8.592525843388866
